hotel_name,hotel_area,poi_name,poi_weight,hotel_nearest_station,poi_nearest_station,hotel_walk_min,poi_walk_min,rough_subway_min,estimated_total_trip_min,access_score
Arlo SoHo,SoHo / Hudson Square,Empire State Building,0.9,Canal St,34 St-Herald Sq,2.65,2.82,6.74,12.2,70.57
Arlo SoHo,SoHo / Hudson Square,Central Park,0.85,Canal St,81 St-Museum of Natural History,2.65,5.95,14.24,22.84,52.08
Arlo SoHo,SoHo / Hudson Square,Grand Central Terminal,0.8,Canal St,Grand Central-42 St,2.65,1.31,8.12,12.08,70.81
Arlo SoHo,SoHo / Hudson Square,The Metropolitan Museum of Art,0.75,Canal St,86 St,2.65,8.22,15.22,26.09,47.45
Arlo SoHo,SoHo / Hudson Square,World Trade Center,0.7,Canal St,WTC Cortlandt,2.65,1.78,3.0,7.43,80.88
Arlo SoHo,SoHo / Hudson Square,Brooklyn Bridge,0.65,Canal St,Fulton St,2.65,11.23,3.0,16.87,61.75
Arlo SoHo,SoHo / Hudson Square,Rockefeller Center,0.6,Canal St,47-50 Sts-Rockefeller Ctr,2.65,2.8,9.0,14.45,66.17
Arlo SoHo,SoHo / Hudson Square,Bryant Park,0.55,Canal St,5 Av,2.65,1.37,8.01,12.03,70.9
Arlo SoHo,SoHo / Hudson Square,Penn Station,0.5,Canal St,34 St-Penn Station,2.65,2.39,6.9,11.94,71.1
Arlo SoHo,SoHo / Hudson Square,MoMA,0.45,Canal St,5 Av/53 St,2.65,3.08,9.81,15.54,64.15
Arlo SoHo,SoHo / Hudson Square,Chelsea Market,0.4,Canal St,14 St,2.65,5.16,4.09,11.89,71.19
Arlo SoHo,SoHo / Hudson Square,Washington Square Park,0.35,Canal St,W 4 St-Wash Sq,2.65,3.94,3.0,9.59,76.03
Arlo SoHo,SoHo / Hudson Square,SoHo,0.3,Canal St,Canal St,2.65,3.52,3.0,9.17,76.96
Arlo SoHo,SoHo / Hudson Square,Williamsburg,0.25,Canal St,Marcy Av,2.65,0.8,8.79,12.24,70.49
citizenM New York Bowery,Bowery / Lower East Side,Statue of Liberty,1.0,Bowery,South Ferry,1.01,37.22,5.24,43.47,28.88
citizenM New York Bowery,Bowery / Lower East Side,Times Square,0.95,Bowery,Times Sq-42 St,1.01,0.57,8.04,9.62,75.97
citizenM New York Bowery,Bowery / Lower East Side,Empire State Building,0.9,Bowery,34 St-Herald Sq,1.01,2.82,6.63,10.45,74.19
citizenM New York Bowery,Bowery / Lower East Side,Central Park,0.85,Bowery,81 St-Museum of Natural History,1.01,5.95,14.09,21.04,54.82
citizenM New York Bowery,Bowery / Lower East Side,Grand Central Terminal,0.8,Bowery,Grand Central-42 St,1.01,1.31,7.57,9.89,75.39
citizenM New York Bowery,Bowery / Lower East Side,The Metropolitan Museum of Art,0.75,Bowery,86 St,1.01,8.22,14.67,23.9,50.52
citizenM New York Bowery,Bowery / Lower East Side,World Trade Center,0.7,Bowery,WTC Cortlandt,1.01,1.78,3.61,6.39,83.3
citizenM New York Bowery,Bowery / Lower East Side,Brooklyn Bridge,0.65,Bowery,Fulton St,1.01,11.23,3.22,15.46,64.3
citizenM New York Bowery,Bowery / Lower East Side,Rockefeller Center,0.6,Bowery,47-50 Sts-Rockefeller Ctr,1.01,2.8,8.8,12.6,69.77
citizenM New York Bowery,Bowery / Lower East Side,Bryant Park,0.55,Bowery,5 Av,1.01,1.37,7.73,10.11,74.92
citizenM New York Bowery,Bowery / Lower East Side,Penn Station,0.5,Bowery,34 St-Penn Station,1.01,2.39,7.12,10.52,74.04
citizenM New York Bowery,Bowery / Lower East Side,MoMA,0.45,Bowery,5 Av/53 St,1.01,3.08,9.41,13.5,68.0
